TREE,DBH
1,25.88
2,16.91
3,18.87
4,16.58
5,18.64
6,34.52
7,17.15
8,26.99
9,23.56
10,25.45
11,24.99
12,23.24
13,29.2
14,23.22
15,31.92
16,32.74
17,25.35
18,18.18
19,17.28
20,22.08
21,18.37
22,15.34
23,17.03
24,21
25,32.55
26,16.66
27,28.96
28,24.31
29,27.91
30,28.65
31,34.86
32,15.76
33,25.42
34,16.85
35,21.77
36,15.79
37,27.15
38,22.32
39,34.18
40,21.44
41,25.34
42,25.51
43,26.91
44,16.64
45,28.73
46,15.26
47,29.51
48,25.34
49,23.73
50,19.74
51,32.99
52,16.71
53,31.88
54,24.31
55,34.41
56,27.36
57,34.8
58,15.95
59,23.75
60,21.1
61,30.8
62,29.07
63,32.82
64,21.9
65,29.24
66,27.98
67,17.8
68,20.52
69,31.73
70,18.06
71,25.97
72,31.31
73,24.01
74,32.12
75,30.51
76,16.22
77,28.37
78,29.9
79,18.02
80,20.67
81,19.14
82,24.14
83,24.14
84,26.99
85,25.18
86,17.4
87,17.45
88,29.78
89,27.83
90,17.41
91,31.02
92,19.86
93,23.16
94,23.59
95,32.42
96,22.16
97,33.09
98,27.97
99,19.23
100,31.99
101,23.32
102,21.77
103,20.9
104,18.56
105,25.07
106,17.21
107,30.44
108,18.28
109,24.74
110,22.77
111,27.21
112,33.26
113,32.98
114,31.63
115,20.12
116,20.67
117,24.14
118,22.19
119,28.8
120,31.4
121,24.62
122,22.54
123,18.11
124,33.46
125,24.36
126,16.95
127,22.55
128,19.34
129,18
130,27.19
131,28.08
132,23.77
133,25.6
134,21.77
135,30.07
136,34.87
137,22.15
138,18.02
139,19.09
140,27.18
141,21.19
142,20.2
143,29.71
144,29.47
145,20.99
146,22.15
147,17.7
148,23.64
149,26.72
150,27.07
151,15.02
152,17.34
153,30.67
154,20.2
155,19.78
156,23.94
157,34.01
158,31.5
159,30.24
160,28.45
161,24.83
162,27.72
163,26.51
164,27.55
165,26.43
166,34.5
167,28.75
168,24.26
169,31.87
170,28.9
171,26.26
172,31.12
173,32.43
174,33.92
175,33.41
176,17.6
177,22.99
178,31.29
179,25.05
180,32.15
181,24.1
182,31.2
183,28.4
184,31.84
185,33.21
186,26.24
187,19.1
188,32.13
189,34.54
190,20.24
191,24.81
192,27.82
193,25.7
194,15.63
195,24.92
196,27.63
197,20.54
198,20.36
199,28.14
200,17.93
201,31.1
202,19.84
203,17.1
204,28.16
205,22.95
206,30.38
207,22.43
208,29.3
209,18.38
210,30.28
211,29.75
212,28.59
213,24.95
214,22.18
215,32.11
216,28.13
217,24.07
218,34.21
219,18.82
220,20.26
221,34.63
222,32.49
223,19.34
224,16.07
225,21.88
226,21.25
227,28.97
228,17.64
229,31.44
230,31.66
231,28.38
232,17.66
233,21.38
234,22.11
235,30.68
236,24.57
237,31.63
