'Name',							'Value',	'Définition',
'.sunLocal.Latitude ',					48.675,'latitude of the site (deg)',
'.sunLocal.Altitude ',					900,    'altitude of the site (m)',
'.sunLocal.Slope ', 					0.5206,      'slope of the stand (deg)',
'.sunLocal.Aspect ', 					0.54506633,    'aspect of the stand. 0 for north (deg)',
'.climate.microclim.z_ref',				10,	'Reference level of the meteorological input data (m)' 
'.locTime.leapYear',					0,	'0: all year have 365 days; 1:allows leap years',
'.forest.treeStand.Area ',				2000,'stand area (m2)',
'.forest.treeStand.pcs_TreeStandInstallation.initialTreesAge ', 140 ,'Age of trees to install (year)',
'.forest.soil.waterCycle.AltitudeRef ',			0	,'Altitude of reference (m)',
'.forest.soil.waterCycle.Dp_Roots ',			1.00	,'Root layer depth (m)',
'.forest.soil.waterCycle.Dp_Soil ',			1.25	,'Soil layer depth (m)',
'.forest.soil.waterCycle.BD ',				1.3	,'Soil Basic density (t m-3 soil)',
'.forest.soil.waterCycle.Silt',				60,	'soil silt content ([0-100%])',
'.forest.soil.waterCycle.Sand', 			30,	'soil sand content ([0-100%])',
'.forest.soil.waterCycle.Clay', 			10.,	'soil clay content ([0-100%])',
'.forest.soil.waterCycle.fast_C ',			0.02	,'coefficient for fast transfer to C under unsaturated conditions,[0-1] unitless',
'.forest.soil.waterCycle.pcs_Discharge.kdischarge_0 ',	7.5,'coefficient kDr0 in groundwater drainage expression',
'.forest.soil.waterCycle.pcs_Discharge.kdischarge_1 ',	5.0,'coefficient kDr1 in groundwater drainage expression',
'.forest.soil.waterCycle.pcs_Discharge.kdischarge_2 ',	2.5,'coefficient kDr2 in groundwater drainage expression',
'.forest.soil.carbonCycle.update.kTresp_Ta ',		0.005,'coeffient in restore force of Ts_resp to Ta (-)',
'.forest.soil.carbonCycle.update.kTresp_Tp ',		0.005,'coeffient in restore force of Ts_resp to Ts_prof (-)',
'.forest.soil.carbonCycle.Ts_prof',			7.0,'mean soil temperature at 1.0m depth (degC)',
'.forest.soil.carbonCycle.Ts_resp',			7.0,'initial value of temperature at the mean level where soil respiration occurrs (degC)' ,
'.forest.soil.waterCycle.w_A',   			150,	'initial value of layer A water content (kg H2O dm-3 soil volume) NB: must be less than field capacity',
'.forest.soil.waterCycle.Dp_B',  			0.60,	'initial value of layer A thicknesss (m)',
'.forest.soil.waterCycle.Dp_C',  			100.0,	'initial value of groundwater table depth (m) : put 100 if absent',
'.forest.soil.carbonCycle.HUM',  			6000,'	initial value of Soil HUM C content (gC m-2)',
'.forest.soil.carbonCycle.RPM',  			4000,	'initial value of Soil RPM C content (gC m-2)',
'.forest.soil.carbonCycle.DPM', 			500,	'initial value of Soil DPM C content (gC m-2)',
'.forest.soil.carbonCycle.BIO', 	 		500,	'initial value of Soil BIO C content (gC m-2)',
'.forest.soil.carbonCycle.IOM', 			2000,	'Soil IOM C content (gC m-2)',
